Company Name,Ticker,Type,Gross Exp Ratio,Net Exp Ratio,Total Assets,Ann Dividend/Yield,Distribution Yield,Fund Inception,1m MR,3m MR,6m MR,YTD MR,1yr MR,3yr MR,5yr MR,10yr MR,Inception MR,Cur Price,EPS,P/E Ratio,Market Cap,Link,Prospectus,Description
The Gen Z ETFNASDAQ:ZGEN    ,ZGEN,ETF Profile,0.60%,0.60%,$5M,No Regular Dividends,--,12/15/2021,--,--,--,--,--,--,--,--,+0.52%,$18.99 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ZGEN&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ZGEN,"The investment seeks capital appreciation.The fund is an actively managed ETF that will invest its assets in U.S.-listed equity securities of companies that, in the assessment of the Sub-Adviser (Alkali Fintech LLC), are the most relevant to Generation Z. Gen Z is the largest generation to date with well over 2 billion members. Gen Z is forecasted to become the highest earning generation within a decade. Historically, technology has been most rapidly adopted by younger, emerging generations."
Global X Robotics & Artificial Intelligence ETFNASDAQ:BOTZ    ,BOTZ,ETF Profile,0.68%,0.68%,$3B,$0.0593/0.19%,0.16%,09/12/2016,-0.72%,-1.72%,+2.83%,+8.65%,+8.65%,+29.57%,+19.75%,--,+18.91%,$29.49 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=BOTZ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=BOTZ,"The investment seeks to provide investment results that correspond generally to the price and yield performance, before fees and expenses, of the Indxx Global Robotics & Artificial Intelligence Thematic Index.The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to provide exposure to exchange-listed companies in developed markets that are involved in the development of robotics and/or artificial intelligence as defined by Indxx, the provider of the underlying index. The fund is non-diversified."
,ROBO,,,,,,,,,,,,,,,,,,,,,https://invest.ameritrade.com/grid/p/site#r=search?query=ROBO,,
iShares Robotics and Artificial Intelligence Multisector ETFNYSE Arca:IRBO    ,IRBO,ETF Profile,0.47%,0.47%,$432M,$0.9989/2.67%,2.41%,06/26/2018,-3.00%,-0.16%,-5.81%,+6.35%,+6.35%,+28.64%,--,--,+18.65%,$36.03 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IRBO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IRBO,"The investment seeks to track the investment results of the NYSE® FactSet® Global Robotics and Artificial Intelligence IndexTM.The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The underlying index measures the performance of equity securities across multiple sectors."
First Trust Nasdaq Artificial Intelligence and Robotics ETFNASDAQ:ROBT    ,ROBT,ETF Profile,0.65%,0.65%,$297M,No Regular Dividends,0.06%,02/21/2018,+1.54%,+2.65%,+1.47%,+9.91%,+9.91%,+29.21%,--,--,+17.39%,$48.88 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=ROBT&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=ROBT,"The investment seeks investment results that correspond generally to the price and yield (before the fund's fees and expenses) of an index called the Nasdaq CTA Artificial Intelligence and Robotics IndexSM (the ""index"").The fund will normally invest at least 90% of its net assets (including investment borrowings) in common stocks and depositary receipts that comprise the index. The index is designed to track the performance of companies engaged in the artificial intelligence (""AI"") and robotics segments of the technology, industrial and other economic sectors. The fund is non-diversified."
,KOPT,,,,,,,,,,,,,,,,,,,,,https://invest.ameritrade.com/grid/p/site#r=search?query=KOPT,,
Invesco QQQ TrustNASDAQ:QQQ    ,QQQ,ETF Profile,0.20%,0.20%,$215B,$1.70/0.47%,0.43%,03/10/1999,+1.15%,+11.29%,+12.52%,+27.42%,+27.42%,+38.06%,+28.38%,+22.90%,+10.10%,$351.69 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=QQQ&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=QQQ,"The investment seeks investment results that generally correspond to the price and yield performance of the NASDAQ-100 Index®.To maintain the correspondence between the composition and weights of the securities in the trust (the ""securities"") and the stocks in the NASDAQ-100 Index®, the adviser adjusts the securities from time to time to conform to periodic changes in the identity and/or relative weights of index securities. The composition and weighting of the securities portion of a portfolio deposit are also adjusted to conform to changes in the index."
Vanguard Information Technology Index Fund ETF SharesNYSE Arca:VGT    ,VGT,ETF Profile,0.10%,0.10%,$65B,$2.92/0.71%,0.64%,01/26/2004,+2.53%,+14.39%,+15.36%,+30.45%,+30.45%,+41.46%,+31.79%,+23.66%,+14.07%,$402.43 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VGT&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VGT,"The investment seeks to track the performance of a benchmark index.The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index/Information Technology 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the information technology sector, as classified under the Global Industry Classification Standard. The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. It is non-diversified."
Technology Select Sector SPDR® FundNYSE Arca:XLK    ,XLK,ETF Profile,0.12%,0.12%,$52B,$1.42/0.90%,0.65%,12/16/1998,+3.25%,+16.66%,+18.19%,+34.74%,+34.74%,+42.60%,+30.80%,+23.07%,+8.85%,$154.33 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=XLK&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=XLK,"The investment seeks investment results that, before expenses, correspond generally to the price and yield performance of publicly traded equity securities of companies in the Technology Select Sector Index.In seeking to track the performance of the index, the fund employs a replication strategy, which means that the fund typically invests in substantially all of the securities represented in the index in approximately the same proportions as the index. It generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The fund is non-diversified."
iShares Exponential Technologies ETFNASDAQ:XT    ,XT,ETF Profile,0.46%,0.46%,$4B,$0.5536/0.92%,0.84%,03/19/2015,+2.40%,+5.76%,+4.91%,+16.43%,+16.43%,+27.16%,+21.20%,--,+16.36%,$58.92 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=XT&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=XT,The investment seeks to track the investment results of the Morningstar® Exponential Technologies IndexSM composed of stocks of developed and emerging market companies that create or use exponential technologies.The fund generally will invest at least 80% of its assets in the component securities of the underlying index and in investments that have economic characteristics that are substantially identical to the component securities of the underlying index. The underlying index is a subset of the Morningstar Global Markets Index (the “Parent index”).
iShares Expanded Tech Sector ETFNYSE Arca:IGM    ,IGM,ETF Profile,0.43%,0.43%,$4B,$0.7109/0.18%,0.16%,03/13/2001,+1.11%,+8.81%,+8.76%,+25.72%,+25.72%,+37.28%,+29.41%,+22.98%,+10.87%,$381.38 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IGM&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IGM,The investment seeks to track the investment results of an index composed of North American equities in the technology sector and select North American equities from communication services and consumer discretionary sectors.The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. A significant portion of the underlying index is represented by securities of companies in the communication services and technology industries or sectors. It is non-diversified.
iShares Semiconductor ETFNASDAQ:SOXX    ,SOXX,ETF Profile,0.43%,0.43%,$10B,$3.45/0.72%,0.64%,07/10/2001,+2.67%,+21.87%,+19.92%,+44.09%,+44.09%,+52.90%,+36.12%,+28.65%,+11.78%,$472.64 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=SOXX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SOXX,"The investment seeks to track the investment results of the ICE Semiconductor Index composed of U.S. equities in the semiconductor sector.The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
iShares U.S. Technology ETFNYSE Arca:IYW    ,IYW,ETF Profile,0.41%,0.41%,$10B,$0.3587/0.35%,0.31%,05/15/2000,+1.42%,+13.51%,+15.71%,+35.44%,+35.44%,+43.08%,+31.71%,+22.95%,+7.21%,$100.62 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IYW&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IYW,"The investment seeks to track the investment results of the Russell 1000 Technology RIC 22.5/45 Capped Index.The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the technology sector of the U.S. equity market, as defined by FTSE Russell. The fund is non-diversified."
iShares Global Tech ETFNYSE Arca:IXN    ,IXN,ETF Profile,0.43%,0.43%,$6B,$0.3719/0.64%,0.58%,11/12/2001,+3.35%,+13.94%,+14.77%,+29.59%,+29.59%,+40.14%,+29.73%,+21.95%,+11.19%,$57.44 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=IXN&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=IXN,"The investment seeks to track the investment results of the S&P Global 1200 Information Technology IndexTM composed of global equities in the technology sector.The index measures the performance of all members of the S&P Global 1200 that are classified within the GICS® information technology sector. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. It is non-diversified."
Vanguard Energy Index Fund Admiral Shares VENAX    ,VENAX,Mutual Fund Profiles,0.10%**,0.10%**,$7B,,4.13%,10/07/2004,+2.66%,+6.30%,,+56.13%,+56.13%,+4.58%,-2.21%,+0.38%,+4.70%,$43.15 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=VENAX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VENAX,"The investment seeks to track the performance of a benchmark index.The fund employs an indexing investment approach designed to track the performance of the MSCI US Investable Market Index (IMI)/Energy 25/50, an index made up of stocks of large, mid-size, and small U.S. companies within the energy sector, as classified under the Global Industry Classification Standard (GICS). The Advisor attempts to replicate the target index by seeking to invest all, or substantially all, of its assets in the stocks that make up the index, in order to hold each stock in approximately the same proportion as its weighting in the index. The fund is non-diversified."
Schwab 1000 Index® Fund SNXFX    ,SNXFX,Mutual Fund Profiles,0.05%**,0.05%**,$15B,,1.18%,04/02/1991,+3.92%,+9.72%,,+26.08%,+26.08%,+25.99%,+18.27%,+16.24%,+10.68%,$94.86 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SNXFX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SNXFX,"The investment seeks to match the total return of the Schwab 1000 Index®.The fund generally invests at least 80% of its net assets (including, for this purpose, any borrowings for investment purposes) in these stocks; typically, the actual percentage is considerably higher. It generally will seek to replicate the performance of the index by giving the same weight to a given stock as the index does. The fund may invest in derivatives, principally futures contracts, and lend its securities to minimize the gap in performance that naturally exists between any index fund and its corresponding index."
Schwab U.S. Aggregate Bond Index Fund SWAGX    ,SWAGX,Mutual Fund Profiles,0.04%**,0.04%**,$6B,,2.06%,02/23/2017,-0.30%,-0.06%,,-1.81%,-1.81%,+4.63%,--,--,+3.40%,$10.21 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWAGX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWAGX,"The investment seeks as closely as possible, before fees and expenses, the total return of the Bloomberg US Aggregate Bond Index that measures the performance of the broad U.S. investment-grade bond market.The index is a broad-based benchmark measuring the performance of the U.S. investment grade, taxable bond market, including U.S. Treasuries, government-related and corporate bonds, mortgage pass-through securities, commercial mortgage-backed securities, and asset-backed securities that are publicly available for sale in the United States. The fund will invest at least 90% of its net assets in securities included in the index."
Schwab ® U.S. Large-Cap Growth Index Fund SWLGX    ,SWLGX,Mutual Fund Profiles,0.04%**,0.04%**,$943M,,0.56%,12/20/2017,+2.11%,+11.61%,,+27.53%,+27.53%,+34.00%,--,--,+23.65%,$79.04 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWLGX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWLGX,"The investment seeks to track the performance of a benchmark index that measures the total return of large capitalization U.S. growth stocks.To pursue its goal, the fund generally invests in stocks that are included in the Russell 1000® Growth Index. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets in securities included in the index. The Russell 1000 Growth Index measures the performance of the large-cap growth segment of the U.S. equity universe. It is a subset of the Russell 1000® Index, representing growth issuers in the Russell 1000 Index."
Schwab ® U.S. Large-Cap Value Index Fund SWLVX    ,SWLVX,Mutual Fund Profiles,0.04%**,0.04%**,$591M,,1.68%,12/20/2017,+6.31%,+7.77%,,+25.12%,+25.12%,+17.55%,--,--,+10.44%,$50.51 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWLVX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWLVX,"The investment seeks to track the performance of a benchmark index that measures the total return of large capitalization U.S. value stocks.To pursue its goal, the fund generally invests in stocks that are included in the Russell 1000® Value Index. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets (including any borrowings for investment purposes) in securities included in the index. The Russell 1000 Value Index measures the performance of the large-cap value segment of the U.S. equity universe. It is a subset of the Russell 1000® Index, representing value issuers in the Russell 1000 Index."
Schwab ® U.S. Mid-Cap Index Fund SWMCX    ,SWMCX,Mutual Fund Profiles,0.04%**,0.04%**,$932M,,0.98%,12/20/2017,+4.08%,+6.43%,,+22.54%,+22.54%,+23.22%,--,--,+14.17%,$56.95 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWMCX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWMCX,"The investment seeks to track the performance of a benchmark index that measures the total return of mid capitalization U.S. stocks.To pursue its goal, the fund generally invests in securities that are included in the Russell Midcap® Index. It is the fund's policy that under normal circumstances it will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in securities included in the index. The Russell Midcap Index measures the performance of the mid-cap segment of the U.S. equity universe. It is a subset of the Russell 1000® Index, representing the smallest issuers in the Russell 1000 Index."
Schwab® S&P 500 Index Fund SWPPX    ,SWPPX,Mutual Fund Profiles,0.02%**,0.02%**,$71B,,1.17%,05/19/1997,+4.48%,+11.01%,,+28.66%,+28.66%,+26.04%,+18.44%,+16.48%,+9.27%,$67.35 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWPPX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWPPX,"The investment seeks to track the total return of the S&P 500® Index.The fund generally invests at least 80% of its net assets (including, for this purpose, any borrowings for investment purposes) in these stocks; typically, the actual percentage is considerably higher. It generally will seek to replicate the performance of the index by giving the same weight to a given stock as the index does."
Schwab Treasury Inflation Protected Securities Index Fund SWRSX    ,SWRSX,Mutual Fund Profiles,0.05%**,0.05%**,$3B,,4.31%,03/31/2006,+0.29%,+2.31%,,+5.83%,+5.83%,+8.34%,+5.25%,+2.93%,+4.26%,$12.18 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWRSX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWRSX,"The investment seeks as closely as possible, before fees and expenses, the total return of the Bloomberg US Treasury Inflation-Linked Bond Index composed of inflation-protected U.S. Treasury securities.The index includes all publicly-issued TIPS that have at least one year remaining to maturity, are rated investment grade and have $500 million or more of outstanding face value. The fund will invest at least 90% of its net assets (including, for this purpose, any borrowings for investment purposes) in securities included in the index. It may invest up to 10% of its net assets in securities not included in the index."
Schwab Small Cap Index Fund® SWSSX    ,SWSSX,Mutual Fund Profiles,0.04%**,0.04%**,$7B,,1.09%,05/19/1997,+2.25%,+2.14%,,+14.81%,+14.81%,+20.10%,+12.09%,+13.28%,+9.49%,$31.81 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWSSX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWSSX,"The investment seeks to track the performance of a benchmark index that measures the total return of small capitalization U.S. stocks.The fund normally invests at least 80% of its net assets (including, for this purpose, any borrowings for investment purposes) in these stocks; typically, the actual percentage is considerably higher. It generally will seek to replicate the performance of the index by giving the same weight to a given stock as the index does. The fund may invest in derivatives, principally futures contracts, and lend its securities to minimize the gap in performance that naturally exists between any index fund and its corresponding index."
Schwab Total Stock Market Index Fund® SWTSX    ,SWTSX,Mutual Fund Profiles,0.03%**,0.03%**,$19B,,1.17%,06/01/1999,+3.80%,+9.15%,,+25.63%,+25.63%,+25.67%,+17.87%,+16.19%,+8.31%,$75.30 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/mutualfunds/profile/profile.asp?symbol=SWTSX&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=SWTSX,"The investment seeks to track the total return of the entire U.S. stock market, as measured by the Dow Jones U.S. Total Stock Market IndexSM.The fund generally invests at least 80% of its net assets (including, for this purpose, any borrowings for investment purposes) in these stocks; typically, the actual percentage is considerably higher. It generally gives the same weight to a given stock as the index does. The fund may invest in derivatives, principally futures contracts, and lend its securities to minimize the gap in performance that naturally exists between any index fund and its corresponding index."

C
NVIDIA Corp NASDAQ: NVDA,NVDA,Stock Summary,,,,$0.16/0.07%,,,,,,,,,,,,$233.74,3.24,77.38x,584.4B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=NVDA&c_name=invest_VENDOR,,
Apple Inc NASDAQ: AAPL,AAPL,Stock Summary,,,,$0.88/0.53%,,,,,,,,,,,,$162.41,5.61,29.65x,2.7T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=AAPL&c_name=invest_VENDOR,,
Trade Desk Inc NASDAQ: TTD,TTD,Stock Summary,,,,No dividend,,,,,,,,,,,,$59.45,0.57,121.96x,28.6B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=TTD&c_name=invest_VENDOR,,
ChargePoint Holdings Inc NYSE: CHPT,CHPT,Stock Summary,,,,No dividend,,,,,,,,,,,,$13.22,-8.89,--,4.4B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=CHPT&c_name=invest_VENDOR,,
EVgo Inc NASDAQ: EVGO,EVGO,Stock Summary,,,,No dividend,,,,,,,,,,,,$7.99,-2.40,--,549.2M,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=EVGO&c_name=invest_VENDOR,,
Vanguard S&P 500 ETFNYSE Arca:VOO    ,VOO,ETF Profile,0.03%,0.03%,$856B,$5.44/1.32%,1.25%,09/07/2010,+4.55%,+11.09%,+11.70%,+28.78%,+28.78%,+26.01%,+18.40%,+16.52%,+16.06%,$402.69 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VOO&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VOO,"The investment seeks to track the performance of the Standard & Poor‘s 500 Index that measures the investment return of large-capitalization stocks.The fund employs an indexing investment approach designed to track the performance of the Standard & Poor's 500 Index, a widely recognized benchmark of U.S. stock market performance that is dominated by the stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
Vanguard Growth Index Fund ETF SharesNYSE Arca:VUG    ,VUG,ETF Profile,0.04%,0.04%,$187B,$1.54/0.54%,0.48%,01/26/2004,+1.57%,+10.75%,+12.16%,+27.34%,+27.34%,+34.75%,+24.75%,+19.30%,+12.13%,$279.57 ,,,,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/etfs/profile/profile.asp?symbol=VUG&c_name=invest_VENDOR,research.ameritrade.com/grid/wwws/common/prospectus/passthrough.asp?symbol=VUG,"The investment seeks to track the performance of the CRSP US Large Cap Growth Index that measures the investment return of large-capitalization growth stocks.The fund employs an indexing investment approach designed to track the performance of the index, a broadly diversified index predominantly made up of growth stocks of large U.S. companies. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
Shopify Inc NYSE: SHOP,SHOP,Stock Summary,,,,No dividend,,,,,,,,,,,,$882.12,26.82,38.43x,110.8B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SHOP&c_name=invest_VENDOR,,
Lemonade Inc NYSE: LMND,LMND,Stock Summary,,,,No dividend,,,,,,,,,,,,$29.21,-3.39,--,1.8B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=LMND&c_name=invest_VENDOR,,
Snowflake Inc. NYSE: SNOW,SNOW,Stock Summary,,,,No dividend,,,,,,,,,,,,$267.56,-2.50,--,82.0B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SNOW&c_name=invest_VENDOR,,
Spotify Technology SA NYSE: SPOT,SPOT,Stock Summary,,,,No dividend,,,,,,,,,,,,$195.53,-0.72,--,37.5B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SPOT&c_name=invest_VENDOR,,
Microsoft Corp NASDAQ: MSFT,MSFT,Stock Summary,,,,$2.48/0.82%,,,,,,,,,,,,$296.03,8.95,33.91x,2.2T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=MSFT&c_name=invest_VENDOR,,
Realty Income Corp NYSE: O,O,Stock Summary,,,,$2.96/4.39%,,,,,,,,,,,,$67.92,1.27,54.20x,38.4B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=O&c_name=invest_VENDOR,,
Amazon.com Inc NASDAQ: AMZN,AMZN,Stock Summary,,,,No dividend,,,,,,,,,,,,"$2,852.86",51.14,61.12x,1.4T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=AMZN&c_name=invest_VENDOR,,
Penn National Gaming Inc NASDAQ: PENN,PENN,Stock Summary,,,,No dividend,,,,,,,,,,,,$40.92,2.24,19.20x,6.9B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=PENN&c_name=invest_VENDOR,,
Coca-Cola Co NYSE: KO,KO,Stock Summary,,,,$1.68/2.77%,,,,,,,,,,,,$60.45,2.03,30.01x,261.1B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=KO&c_name=invest_VENDOR,,
Alphabet Inc NASDAQ: GOOGL,GOOGL,Stock Summary,,,,No dividend,,,,,,,,,,,,"$2,607.03",103.83,26.03x,1.7T,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=GOOGL&c_name=invest_VENDOR,,
Tesla Inc NASDAQ: TSLA,TSLA,Stock Summary,,,,No dividend,,,,,,,,,,,,$943.90,3.08,323.09x,947.9B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=TSLA&c_name=invest_VENDOR,,
Sempra Energy NYSE: SRE,SRE,Stock Summary,,,,$4.40/3.26%,,,,,,,,,,,,$134.90,3.60,37.70x,43.1B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SRE&c_name=invest_VENDOR,,

D
Snowflake Inc. NYSE: SNOW,SNOW,Stock Summary,,,,No dividend,,,,,,,,,,,,$267.56,-2.50,--,82.0B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SNOW&c_name=invest_VENDOR,,
Shopify Inc NYSE: SHOP,SHOP,Stock Summary,,,,No dividend,,,,,,,,,,,,$882.12,26.82,38.43x,110.8B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=SHOP&c_name=invest_VENDOR,,
DigitalOcean Holdings Inc NYSE: DOCN,DOCN,Stock Summary,,,,No dividend,,,,,,,,,,,,$52.58,-0.23,--,5.6B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=DOCN&c_name=invest_VENDOR,,
CrowdStrike Holdings Inc NASDAQ: CRWD,CRWD,Stock Summary,,,,No dividend,,,,,,,,,,,,$164.73,-0.94,--,37.8B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=CRWD&c_name=invest_VENDOR,,
Confluent Inc NASDAQ: CFLT,CFLT,Stock Summary,,,,No dividend,,,,,,,,,,,,$59.89,-1.05,--,15.8B,https://invest.ameritrade.com/grid/p/site#r=jPage/https://research.ameritrade.com/grid/wwws/research/stocks/summary?symbol=CFLT&c_name=invest_VENDOR,,
